depth,potential.temperature,salinity
1.5,6.1272,13.2087
1.75,6.1245,13.2115
2,6.1236,13.2128
2.25,6.1227,13.2126
2.5,6.1229,13.2145
2.75,6.1224,13.2122
3,6.1225,13.2118
3.25,6.1215,13.2126
3.5,6.121,13.2127
3.75,6.1188,13.2154
4,6.1185,13.2156
4.25,6.1143,13.2221
4.5,6.114,13.2215
4.75,6.095,13.2451
5,6.1028,13.2345
5.25,6.1061,13.2294
5.5,6.1131,13.2231
5.75,6.1023,13.2394
6,6.1012,13.2456
6.25,6.1008,13.313
6.5,6.1079,13.3663
6.75,6.1019,13.4657
7,6.0541,13.5067
7.25,6.0259,13.5198
7.5,6.0144,13.5256
7.75,6.0127,13.5344
8,5.9924,13.5359
8.25,5.9716,13.5404
8.5,5.9694,13.5476
8.75,5.9341,13.5537
9,5.935,13.5616
9.25,5.9024,13.5742
9.5,5.8595,13.5838
9.75,5.8398,13.6054
10,5.8375,13.6284
10.25,5.8384,13.6382
10.5,5.8288,13.6513
10.75,5.8152,13.6692
11,5.7996,13.7011
11.25,5.7844,13.7352
11.5,5.7588,13.8085
11.75,5.7549,13.8438
12,5.7546,13.8652
12.25,5.7541,13.8829
12.5,5.7518,13.9098
12.75,5.75,13.928
13,5.7462,13.969
13.25,5.7345,14.0098
13.5,5.733,14.0203
13.75,5.7335,14.0373
14,5.7265,14.0644
14.25,5.7187,14.1195
14.5,5.7164,14.2032
14.75,5.7231,14.3566
15,5.7129,14.5467
15.25,5.5992,14.7128
15.5,5.4689,14.8667
15.75,5.3841,15.0929
16,5.3723,15.149
16.25,5.3251,15.2065
16.5,5.2214,15.5688
16.75,5.1378,16.0333
17,5.1183,16.1952
17.25,5.1145,16.2207
17.5,5.1156,16.2256
