depth;potential.temperature;salinity
3.25;24.5313;34.2763
3.5;24.5541;34.2753
3.75;24.5121;34.2729
4;24.4843;34.2783
4.25;24.4946;34.2757
4.5;24.9245;34.0989
4.5;24.5053;34.276
4.5;24.3488;34.4009
4.5;23.7132;34.6433
4.75;24.9247;34.0989
4.75;25.3519;34.2449
4.75;24.5187;34.2761
4.75;24.3525;34.4007
4.75;23.383;34.4612
4.75;23.9214;34.6359
4.75;23.7131;34.6432
5;25.1232;34.0107
5;24.9249;34.0991
5;24.9142;34.2329
5;25.3516;34.245
5;24.5187;34.2759
5;24.359;34.4008
5;23.7468;34.4063
5;23.3831;34.4612
5;23.5225;34.4852
5;23.4417;34.4869
5;23.9194;34.6361
5;23.7133;34.643
5;23.8162;34.6605
5.25;25.2013;33.9476
5.25;25.122;34.0107
5.25;25.077;34.0797
5.25;24.9253;34.0992
5.25;24.9091;34.233
5.25;25.3376;34.2448
5.25;24.5482;34.2743
5.25;24.3589;34.4008
5.25;23.7479;34.4066
5.25;23.3861;34.4613
5.25;23.1797;34.4686
5.25;23.5232;34.4852
5.25;23.4418;34.4869
5.25;22.4576;34.5669
5.25;23.6665;34.6169
5.25;23.9196;34.6364
5.25;23.712;34.6438
5.25;23.8158;34.6606
5.5;26.2235;33.7967
5.5;25.1244;33.9016
5.5;25.2007;33.9477
5.5;25.1196;34.011
5.5;25.0585;34.0789
5.5;24.9253;34.0989
5.5;24.1056;34.1853
5.5;24.9097;34.233
5.5;25.3463;34.2449
5.5;24.5224;34.2763
5.5;24.3581;34.4008
5.5;23.7479;34.4067
5.5;23.3842;34.4614
5.5;23.1802;34.4687
5.5;24.6519;34.4788
5.5;23.5189;34.4847
5.5;23.5242;34.4853
5.5;23.4418;34.4868
5.5;22.4566;34.5669
5.5;22.1489;34.5812
5.5;23.6649;34.6167
5.5;23.9719;34.6366
5.5;23.7117;34.644
5.5;23.8158;34.6605
5.75;26.221;33.7968
5.75;25.1244;33.9013
5.75;25.2018;33.9315
5.75;25.2009;33.9478
5.75;25.1281;34.0119
5.75;25.0558;34.0783
5.75;24.9253;34.0989
5.75;24.1048;34.1854
5.75;24.4396;34.2197
5.75;24.9163;34.2331
5.75;25.3501;34.2446
5.75;24.5461;34.275
5.75;24.3816;34.2791
5.75;24.357;34.4007
5.75;23.7495;34.4067
5.75;23.3838;34.4613
5.75;23.1807;34.4686
5.75;24.5867;34.4759
5.75;23.5256;34.4849
5.75;23.5237;34.4854
5.75;23.4421;34.487
5.75;22.4548;34.567
5.75;22.149;34.5813
5.75;23.5391;34.6003
5.75;23.6626;34.617
5.75;23.9895;34.6371
5.75;23.712;34.644
5.75;23.8159;34.6606
6;26.2219;33.7969
6;26.1466;33.8046
6;25.1231;33.9015
6;25.1979;33.9316
6;25.2083;33.9334
6;25.201;33.9477
6;25.1346;34.0109
6;25.0487;34.0786
6;24.9254;34.0989
6;24.1048;34.1853
6;24.4448;34.2195
6;24.9116;34.2328
6;25.356;34.2447
6;24.5519;34.2758
6;24.3826;34.279
6;24.0475;34.2901
6;24.3607;34.401
6;23.7517;34.4064
6;23.3837;34.4612
6;23.1834;34.4686
6;24.479;34.4738
6;23.5246;34.4849
6;23.5236;34.4854
6;23.4421;34.4869
6;22.4506;34.5669
6;22.1491;34.5811
6;23.5397;34.6004
6;23.6661;34.6169
6;23.977;34.6363
6;23.712;34.644
6;23.8161;34.6606
6.25;26.223;33.7967
6.25;26.1469;33.8046
6.25;25.7015;33.8423
6.25;25.1211;33.9017
6.25;25.2045;33.932
6.25;25.2118;33.9336
6.25;25.2008;33.9477
6.25;25.1403;34.0112
6.25;25.0632;34.0782
6.25;24.9254;34.0981
6.25;24.0484;34.1354
6.25;24.1047;34.1853
6.25;24.4363;34.2196
6.25;24.9052;34.2326
6.25;25.3587;34.2449
6.25;24.564;34.2758
6.25;24.3831;34.279
6.25;24.0427;34.2907
6.25;24.3615;34.4009
6.25;23.7493;34.4063
6.25;23.383;34.4611
6.25;23.303;34.4678
6.25;23.183;34.4686
6.25;24.4474;34.4752
6.25;23.5251;34.4847
6.25;23.5234;34.4853
6.25;23.4422;34.487
6.25;22.4498;34.5669
6.25;23.639;34.5792
6.25;22.1491;34.5811
6.25;23.5398;34.6005
6.25;23.6658;34.6168
6.25;23.974;34.6372
6.25;23.7122;34.6439
6.25;23.8161;34.6606
6.5;26.2218;33.7968
6.5;26.1456;33.8047
6.5;25.6998;33.8425
6.5;25.3127;33.8969
6.5;25.1197;33.9016
6.5;25.2063;33.9315
6.5;25.2118;33.9337
6.5;25.2008;33.9478
6.5;25.1422;34.0109
6.5;25.049;34.0768
6.5;24.9253;34.0985
6.5;24.049;34.1355
6.5;24.1049;34.1854
6.5;24.4332;34.2197
6.5;24.9;34.2323
6.5;25.1088;34.2345
6.5;25.3594;34.2446
6.5;24.5454;34.274
6.5;24.3824;34.2788
6.5;24.0386;34.2911
6.5;24.3697;34.4009
6.5;23.7446;34.4062
6.5;23.3823;34.461
6.5;23.346;34.4679
6.5;23.183;34.4686
6.5;23.2509;34.4693
6.5;24.4884;34.4773
6.5;23.5222;34.4841
6.5;23.5234;34.4851
6.5;23.4422;34.4868
6.5;22.4491;34.5668
6.5;23.6379;34.5794
6.5;22.1493;34.5812
6.5;23.5392;34.6006
6.5;23.6654;34.6169
6.5;23.9423;34.6352
6.5;23.7119;34.644
6.5;23.8161;34.6589
